ChanQual,Exp_collection,Expi,WebCam,comments,ephysFN,expControlFN,pref_chan,pref_unit,stim_size,stimuli,Animal
,BigGAN_FC6;BigGAN_Hessian,1.0,,"002 generate biggan
 91 (0 0) 2 2 cmaes SU 1/5
 very suppressed SU!",Caos-12022024-002,241202_143902_Caos_generate_BigGAN,91.0,2.0,2.0,N:\Stimuli\Evolutions\2024\2024-12-02-Ev-Caos-01\2024-12-02-14-39-44,Caos
,BigGAN_FC6;BigGAN_Hessian,2.0,,"Let's try chan 94, with hash
 005 biggan
 94 (0 0) 2 1 CMAES 5/5 hash
 weak path3.45PM: has had 100+150cc, now down to 50cc, filling up to level of 150cc apple juice 3.46PM. Behav performance 84%. Deepsim sucks
 Biggan won out by making doggies
 now time to do manifold",Caos-12022024-005,241202_153847_Caos_generate_BigGAN,94.0,1.0,2.0,N:\Stimuli\Evolutions\2024\2024-12-02-Ev-Caos-03\2024-12-02-15-39-42,Caos
,BigGAN_FC6;BigGAN_Hessian,3.0,,"002 biggan
started at 218 PM
71 (0 0) 2 2 CMAES deepsim and biggan
psths are crap
consumed 100cc juice
Biggan succeeded",Caos-12042024-002,241204_141711_Caos_generate_BigGAN,71.0,2.0,2.0,N:\Stimuli\Evolutions\2024\2024-12-04-Ev-Caos-01\2024-12-04-14-18-16,Caos
,BigGAN_FC6;BigGAN_Hessian,4.0,,"Will try another biggan
ch 72 ( 0 0) 2 1 CMAES
006 start at 311 PM
doesn’t sound like much
Down to 25, has had 100+175 = 275
will fill up with AJ to 100
biggan climbing
we're running out of time, we'll have to stop soon and do manifold
losing biggan anyway",Caos-12042024-006,241204_151045_Caos_generate_BigGAN,72.0,1.0,2.0,N:\Stimuli\Evolutions\2024\2024-12-04-Ev-Caos-02\2024-12-04-15-11-33,Caos
,BigGAN_FC6;BigGAN_Hessian,5.0,,"Trying biggan again with SU in 92
92 (0 0) 2 2 CMAES SU 1/5
started biggan at 2.23PM -003
Ptsh good, biggan working well in evolutions
Stopped briefly to drain juicer, started again, evolutions biggan work well still
0b 
Experiment: generate_BigGAN 
Conditions: generate_BigGAN 
Subject: Caos 
Start time: Dec-09-2024 14:23:19 
End time: Dec-09-2024 
(Elapsed: 
# of completed blocks: 22 
Success rate: 55.96% (z 366 1 654) 
Open MLpIayer for replay 
0.3 
o. 
o. 
0.1 
o. 
o. 
005 
0.1 
0.15 
0.2 
025 
ENTERED INTO BIGGAN",Caos-12092024-003,241209_142223_Caos_generate_BigGAN,92.0,2.0,2.0,N:\Stimuli\Evolutions\2024\2024-12-09-Ev-Caos-02\2024-12-09-14-23-19,Caos
,BigGAN_FC6;BigGAN_Hessian,6.0,,"Channel 68 potentially great channel
Biggan run with SU channel 68
68 (0,0),2 2 started at 1.16PM CMAS 1/5
ENTERED INTO BIGGAN",Caos-12102024-002,241210_131541_Caos_generate_BigGAN,68.0,2.0,2.0,N:\Stimuli\Evolutions\2024\2024-12-10-Ev-Caos-01\2024-12-10-13-16-26,Caos
,BigGAN_FC6;BigGAN_Hessian,7.0,,"Biggan MU on channel 69 (0,0) 2,1
Started 2.18 PM
02 
025 
That's more like it
260cc total drank at 2.19PM
 ENTERED INTO BIGGAN",Caos-12102024-005,241210_141645_Caos_generate_BigGAN,69.0,1.0,2.0,N:\Stimuli\Evolutions\2024\2024-12-10-Ev-Caos-03\2024-12-10-14-17-59,Caos
,BigGAN_FC6;BigGAN_Hessian,1.0,," 002 at 1.47PM.
biggan
56 (-1,0) 4 1 CMAES hash 5/5
fairly decent psths
both biggan and deepsim performance rapidly rising and consistently at similar levels, biggan appears to have created some wild boar-like images. Has drank 125cc at 2.0PM, filling up with 200cc juice. Biggan leveled out briefly but now rising again.
 
150 
100 
0.5",Diablito-03122024-002,241203_134558_Diablito_generate_BigGAN,56.0,1.0,4.0,N:\Stimuli\Evolutions\2024\2024-12-03-Ev-Diablito-01\2024-12-03-13-46-53,Diablito
,BigGAN_FC6;BigGAN_Hessian,2.0,,"002 at 1259 PM ish
42 (-1,-1) 4 2 CMAES 3/5
Solid psth, in Diablito we trust
Not nothin'
77% performance
started at 200 cc
Ended at 115 PM, running manifold code
takes a while, Binxu. In case you're reading this
that took a long time, had to relaunch VSCODE and it was faster then",Diablito-11122024-002,241211_125829_Diablito_generate_BigGAN,42.0,2.0,4.0,N:\Stimuli\Evolutions\2024\2024-12-11-Ev-Diablito-01\2024-12-11-12-59-09,Diablito
,BigGAN_FC6;BigGAN_Hessian,3.0,,"Going for 34 (-2 0) 4 2 CMAES 4/5 hash
004 at 144 PM
doesn't sound as responsive as 42, but ok, nice RF
ok psth
Not nothin
Performance sucks, 44%
Finished 1.18hr, started running manifold code
75s to generate first part of manifold",Diablito-11122024-004,241211_134400_Diablito_generate_BigGAN,34.0,2.0,4.0,N:\Stimuli\Evolutions\2024\2024-12-11-Ev-Diablito-02\2024-12-11-13-44-38,Diablito
