ChanQual,Exp_collection,Expi,WebCam,comments,ephysFN,expControlFN,pref_chan,pref_unit,stim_size,stimuli
,Manifold,1.0,,"Ch 29. SU [-0.5 -1.7] 4 1.
Popping, visually responsive, already going up slowly
Start at 11:59, he's had 100 mL, working for 1 hour
taking offfff! Maybeee, at block 32, its staying above green line but not shooting up
Seems to be selecting for red, taking a long break...bumped him up to 70 ms reward
Stopped at 54 blocks. COMPLETED
entered into Matlab",Alfa64chan-19112019-009,191119_Alfa_generate_parallel(3),29.0,,4.0,N:\Stimuli\2019-06-Evolutions\alfa-191119a
,Manifold,1.0,,"Ch 29. Post evolution heat map.
Start around 12:45
[-0.5 -1.7] 4 1.  -2:1:2
COMPLETED
011 – error",Alfa64chan-19112019-010,191119_ALfa_rfMapper_basic(5),29.0,,4.0,
,Manifold,1.0,,"012 at 1252 PM
selectivity-manifold
ch 29 (-0.5,-1.7) 4
80 ms reward, at 1:09, bumped him up tp 100 ms reward
Bumped to 150, hes been working for over 2 hours, had over 250
Bumped him up, just going to finish him out. Stopped after 9 blocks, 325 mL
completed`",Alfa64chan-19112019-012,191119_Alfa_selectivity_basic(1),29.0,,4.0,N:\Stimuli\2019-Manifold\alfa-191119a selectivity
,Manifold,2.0,,"010 at 328 PM
evolution
29 (-0.5,0) 4 1, SU 1/5
35 blocks completed
Completed
entered into Matlab",Alfa64chan-20112019-010,191120_Alfa_generate_parallel(3),29.0,,4.0,N:\Stimuli\2019-06-Evolutions\alfa-191120b\backup_11_20_2019_15_21_40
,Manifold,2.0,,"RF mapping
completed",Alfa64chan-20112019-011,191120_ALfa_rfMapper_basic(4),29.0,,,N:\Stimuli\2019-06-RF-mapping\2019-11-20-Alfa-chan29_SU
,Manifold,2.0,,"Redo!  Ch. 29 [-0.5 0] 4 1, one SU (1/5), one hash (5/5)
Five blocks completed
completed",Alfa64chan-20112019-013,191120_Alfa_selectivity_basic(1),29.0,,4.0,N:\Stimuli\2019-Manifold\alfa-191120a\backup_11_20_2019_15_21_40\PC_imgs
,Manifold,3.0,,"Ch. 9 [-0.4 -0.9] 3 1, one SU (1/5), one hash (5/5)
Start time: 1:42 pm, 35 ms reward
Very visually responsive, beautiful SU
Evolution climbing, evolving a brownish-reddish sphere dead foveal, most of preferred natural images have spherical/round objects in center of image
Gorgeous evolution!
Still climbing at block 72... WOW
Block 83, still climbing and jumping up after every few blocks
88 blocks completed!
Completed
entered into Matlab",Alfa64chan-21112019-003,191121_Alfa_generate_parallel,9.0,,3.0,N:\Stimuli\2019-06-Evolutions\alfa-191121a\backup_11_21_2019_13_41_31
,Manifold,3.0,,"Ch. 9 [-0.4 -0.9] 3 1 –1.5:0.5:1.5, one SU (1/5), one hash (5/5)
Start: 2:36 pm, 35 ms reward
completed",Alfa64chan-21112019-004,191121_ALfa_rfMapper_basic(2),9.0,,3.0,N:\Stimuli\2019-06-RF-mapping\2019-11-21-Alfa-chan9_SU
,Manifold,3.0,,"7 blocks
completed",Alfa64chan-21112019-006,191121_Alfa_selectivity_basic,9.0,,3.0,N:\Stimuli\2019-Manifold\alfa-191121a\backup_11_21_2019_13_41_31\PC_imgs
,Manifold,4.0,,"Ch. 32  [0.6 -1.7] 3 1, one SU (2/5), one MU (4/5)
Start: 3:23 pm, 75 ms reward
Very visually responsive, starting to climb immediately
50 blocks completed
Completed
entered into Matlab",Alfa64chan-21112019-008,191121_Alfa_generate_parallel(1),32.0,,3.0,N:\Stimuli\2019-06-Evolutions\alfa-191121b\backup_11_21_2019_15_23_15
,Manifold,4.0,,"Ch. 32  [0.6 -1.7] 3 1 –1.5:0.5:1.5, one SU (2/5), one MU (4/5)
Five blocks
completed",Alfa64chan-21112019-009,191121_ALfa_rfMapper_basic(5),32.0,,3.0,N:\Stimuli\2019-06-RF-mapping\2019-11-21-Alfa-chan32_SU
,Manifold,4.0,,"Ch. 32  [0.6 -1.7] 3 1, one SU (2/5), one MU (4/5)
Replaced 75 cc of water with 100 of grape juice and 25 cc sugar syrup",Alfa64chan-21112019-010,191121_Alfa_selectivity_basic(1),32.0,,3.0,N:\Stimuli\2019-Manifold\alfa-191121b\backup_11_21_2019_15_23_15\PC_imgs
,,,,"Start: 1:35 pm, [0 0] 1 –4:1:4
Ch. 3, two SU (1/5 and 1/5), one hash (4/5), mapping first SU
Recalibrated eye signals due to poor fixation,
RF = [-1 –0.4]",Alfa64chan-22112019-001,191122_ALfa_rfMapper_basic,,,,
,Manifold,5.0,,"Ch. 3 [-1 –0.4] 3 1, two SU (1/5 and 1/5), one hash (4/5)
Start: 1:44 pm, 50 ms reward
Visually responsive, evolution climbing already, super selective for evolved stimuli
46 blocks
Completed
entered into Matlab",Alfa64chan-22112019-002,191122_Alfa_generate_parallel,3.0,,3.0,N:\Stimuli\2019-06-Evolutions\alfa-191122a\backup_11_22_2019_13_43_26
,Manifold,5.0,,"Ch. 3 [-1 –0.4] 3 1 –1.5:0.5:1.5, two SU (1/5 and 1/5), one hash (4/5)
Start: 2:10 pm, 50 ms reward
5 blocks
completed",Alfa64chan-22112019-003,191122_ALfa_rfMapper_basic(1),3.0,,3.0,N:\Stimuli\2019-06-RF-mapping\2019-11-22-Alfa-chan3_SU
,Manifold,5.0,,"Ch. 3 [-1 –0.4] 3 1, two SU (1/5 and 1/5), one hash (4/5)
Start: 2:16 pm, 50 ms reward
5 blocks
completed",Alfa64chan-22112019-004,191122_Alfa_selectivity_basic,3.0,,3.0,N:\Stimuli\2019-Manifold\alfa-191122a\backup_11_22_2019_13_43_26\PC_imgs
